title,id,release_date,duration,genre_count,genre,rating,keywords,language,budget,revenue,url
Venom: Let There Be Carnage,580489,9/30/2021,1h 37m,2,"Science Fiction,Action",72,9,English,"110,000,000.00","191,000,000.00",https://www.themoviedb.org/movie/580489
Free Guy,550988,8/11/2021,1h 55m,4,"Comedy,Action,Adventure,Science Fiction",78,10,English,"110,000,000.00","324,000,000.00",https://www.themoviedb.org/movie/550988
Venom,335983,9/28/2018,1h 52m,2,"Science Fiction,Action",68,13,English,"116,000,000.00","855,013,954.00",https://www.themoviedb.org/movie/335983
The Addams Family 2,639721,10/1/2021,1h 33m,3,"Animation,Comedy,Family",76,2,English, NaN,"40,000,000.00",https://www.themoviedb.org/movie/639721
Snake Eyes: G.I. Joe Origins,568620,7/22/2021,2h 1m,2,"Action,Adventure",69,13,English,"88,000,000.00","36,964,325.00",https://www.themoviedb.org/movie/568620
Deathstroke: Knights & Dragons - The Movie,703771,8/4/2020,1h 27m,4,"Animation,Action,Adventure,Science Fiction",69,6,English, NaN, NaN,https://www.themoviedb.org/movie/703771
The Many Saints of Newark,524369,9/22/2021,2h,2,"Crime,Drama",67,10,English, NaN,"7,300,000.00",https://www.themoviedb.org/movie/524369
The Seven Deadly Sins: Cursed by Light,843241,7/2/2021,2,2,85,3,1, NaN, NaN,,https://www.themoviedb.org/movie/843241
The Stronghold,637534,8/18/2021,1h 45m,2,"Crime,Thriller",77,2,French,"14,479,740.00", NaN,https://www.themoviedb.org/movie/637534
The Last Warrior: Root of Evil,589754,1/1/2021,2h,3,"Fantasy,Adventure,Comedy",71,2,Russian,"8,400,000.00","27,658,331.00",https://www.themoviedb.org/movie/589754
Cosmic Sin,681887,3/12/2021,1h 28m,1,Science Fiction,45,9,English,"20,000,000.00", NaN,https://www.themoviedb.org/movie/681887
Shang-Chi and the Legend of the Ten Rings,566525,9/1/2021,2h 12m,3,"Action,Adventure,Fantasy",78,6,English,"150,000,000.00","401,000,000.00",https://www.themoviedb.org/movie/566525
Dragon Fury,839436,6/15/2021,1h 28m,3,"Horror,Fantasy,Mystery",56,2,English, NaN, NaN,https://www.themoviedb.org/movie/839436
The Suicide Squad,436969,7/28/2021,2h 12m,3,"Action,Adventure,Fantasy",78,17,English,"180,000,000.00","167,381,210.00",https://www.themoviedb.org/movie/436969
"Matando Cabos 2, La MÃ¡scara del MÃ¡scara",772436,10/1/2021,3,2,75,0,2, NaN, NaN,,https://www.themoviedb.org/movie/772436
Solitary,725273,9/24/2021,1h 29m,1,Science Fiction,66,0,English, NaN, NaN,https://www.themoviedb.org/movie/725273
F9,385128,5/19/2021,2h 23m,3,"Action,Crime,Thriller",74,5,English,"200,000,000.00","716,000,000.00",https://www.themoviedb.org/movie/385128
The Boss Baby: Family Business,459151,7/1/2021,1h 47m,4,"Animation,Comedy,Adventure,Family",77,3,English,"82,000,000.00","112,000,000.00",https://www.themoviedb.org/movie/459151
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,635302,10/16/2020,1h 57m,4,"Animation,Action,Adventure,Fantasy",84,17,Japanese,"15,800,000.00","503,063,688.00",https://www.themoviedb.org/movie/635302
Jungle Cruise,451048,7/28/2021,2h 7m,4,"Adventure,Fantasy,Comedy,Action",78,5,English,"200,000,000.00","209,000,000.00",https://www.themoviedb.org/movie/451048
Crazy Fist,859041,5/25/2017,1h 37m,1,Action,76,0,Chinese, NaN, NaN,https://www.themoviedb.org/movie/859041
Escape The Undertaker,871875,10/5/2021,31m,3,"Horror,Mystery,Family",44,1,English, NaN, NaN,https://www.themoviedb.org/movie/871875
PAW Patrol: The Movie,675445,8/9/2021,1h 26m,4,"Animation,Family,Adventure,Comedy",78,0,English,"26,000,000.00","121,000,000.00",https://www.themoviedb.org/movie/675445
Old,631843,7/21/2021,1h 48m,3,"Horror,Mystery,Thriller",67,4,English,"18,000,000.00","89,500,000.00",https://www.themoviedb.org/movie/631843
Black Widow,497698,7/7/2021,2h 14m,3,"Action,Adventure,Science Fiction",77,11,English,"200,000,000.00","378,328,978.00",https://www.themoviedb.org/movie/497698
Luca,508943,6/17/2021,1h 35m,4,"Animation,Comedy,Family,Fantasy",80,13,English,"200,000,000.00","47,400,000.00",https://www.themoviedb.org/movie/508943
Demonic,774021,7/29/2021,1h 44m,2,"Horror,Thriller",51,5,English, NaN, NaN,https://www.themoviedb.org/movie/774021
Catch the Bullet,859860,9/10/2021,1h 29m,2,"Western,Action",56,0,English, NaN, NaN,https://www.themoviedb.org/movie/859860
Halloween Kills,610253,10/14/2021,1h 46m,2,"Horror,Thriller",80,11,English, NaN, NaN,https://www.themoviedb.org/movie/610253
After We Fell,744275,9/1/2021,1h 48m,2,"Romance,Drama",80,6,English,"14,000,000.00","19,000,000.00",https://www.themoviedb.org/movie/744275
LEGO Star Wars Terrifying Tales,857702,10/1/2021,45m,5,"Animation,Family,Science Fiction,Comedy,Horror",70,0,English, NaN, NaN,https://www.themoviedb.org/movie/857702
Space Jam: A New Legacy,379686,7/8/2021,1h 55m,4,"Animation,Comedy,Family,Science Fiction",73,5,English,"161,900,000.00","148,810,604.00",https://www.themoviedb.org/movie/379686
SAS: Red Notice,595743,8/11/2021,2h,3,"Drama,Action,Thriller",60,0,English, NaN, NaN,https://www.themoviedb.org/movie/595743
My Little Pony: A New Generation,597316,9/23/2021,1h 31m,6,"Animation,Family,Fantasy,Comedy,Music,Adventure",80,3,English, NaN, NaN,https://www.themoviedb.org/movie/597316
